date,author,text,favorite
2/21/2009,Vegas,"For the money, one of the best cars I have owned. I have received so much interest from other drivers whether driving it or walking up and people stopping to inquire. Driving impression for such a heavy car is terrific and well balanced. The all wheel drive and 19 inch wheels no doubt compensate. One reviewer complained about the steering. I don't see it. I have not heard rattle, squeak or shutter. The fit and build quality is tremendous. Plus, you're not seeing yourself coming down the road in a 3 series. The v6 has great power. The V8 blows you away, but so does the gas. Great car. ","Exterior design, parking assist, Hamon Kardon Audio."
2/5/2009,david,"Shopped long and hard and considered BMW3 and Z4, Mercedes C300 and SLK, Infiniti G37, Cadillac CTS and Audi TT. In my opinion, the A5 offered the best combination of style,performance, comfort and value and I have not been disappointed after four months and 5000 miles. MPG of 20.3 with estimated 20% highway/80% city. Plenty of room for two sets of golf clubs in the spacious trunk. I enjoy the look of the 19"" Y wheels but would not recommend them to those of you that do the majority of your driving on the highway due to a rougher ride. Minor nitpicks for excessive brake dust (although it appears to be moderating) and for a slight roughness when shifting from second to third.","Overall elegance both inside and out. The rich dark hue of the Deep Sea Blue paint at twilight. Six speed manual and, of course, the B & O premium sound system cranking out Serius Blues."
1/13/2009,dillon,"Traded in 2000 BMW 328i. Had always planned on replacing with another BMW but I haven't been impressed with the current designs and decided to make the switch. Looked at a number of cars in this segment but ultimately choose the A5 for the practicality of the AWD, decent MPG, and of course the stunning looks (don't buy this car if you don't like being gawked at). Acceleration and handling are good but there are certainly cars with better. Got to test out the Quattro last month in some serious snow and ice... and it was unbelievable. For me it was all about being able to drive in the winter. If that's not an issue than I think the competition is stiff for the A5.",LED daytime running lights- soon they'll be ubiquitous but for now quite exotic looking (wish I could see them when I'm driving). Technology package- Side Assist and Smart key. Huge trunk. MMI is surprisingly easy to learn. 
1/8/2009,Robert,"After drooling for this car for the better part of a year, I finally ordered the car last July. Unfortunately, due to availability issues, I was unable to drive the configuration I ordered (18"" tires, M/T). The car's ride and handling easily surpassed my expectations (as well as my previous 2002 A4 w/ sport suspension. Engine is silky smooth, with a light clutch but excellent feedback. The car is extremely quiet, and combined with the Bang & Olfsen radio, just a pure joy to drive",Quattro. 
11/15/2008,dug,"I finally traded in my 2001 BMW 330 for this car and although it is a nice car, I miss the BMW just a bit. The long wheelbase makes navigating in tight situations tough and the standard leather feels really cheap. Wish I would have paid for the leather upgrade. Also, wish it came standard with the S-line seats. The standard seats feel a little too flat and make it tough to really have fun with the car. Don't get me wrong, this car is sweet. It is awesome to drive and the performance definitely rivals a BMW. Much cheaper than the 335 coupe too. Really like the technology controls and the B&O sound system rocks. Tough to go wrong. Wish I had more money to buy the upgrades.","Styling, interior controls, sound system, smooth ride, fun to drive, highway acceleration. Manual transmission started off a little rough but drives like a dream now after three weeks. Lots of room inside and trunk is huge. Interior styling feels nice, not much hard plastic."
11/13/2008,GirlAroundTown,"2009 A5 S line with all the bells and whistles. My 3rd Audi. Bought after my 1st Benz that I got ripped off from my G35 coupe trade in. Still breaking it though so I will get back after a few months for a full review. Didn't do the drive mode button though...waste of money. Still trying to get used to seat position, haven't found perfect yet. Shame it doesn't have as much power as the G37 with the V6. I would have went with the lower powered turbo instead or diesel if an option here in the US.",B&O sound system. Stitch work on seats for S line. Exterior design. Headlamps are by far the coolest on the street. Being one of only 2 A5 drivers in Jacksonville is fantastic. 
11/10/2008,drblue,"I own an A5 S-Line version in red. I love it after stepping down from a 1997 A8. The car was worth waiting for and it is really a large sport car. This thing handles like a dream, but if it didn't have 19 in wheels with summer tires the ride wouldn't feel so brutal over bad pavement. The combination velour and leather seats are firm and supportive, a good thing for spirited driving. These seats are not as cushy as the A8, but this is a different beast. I like the driving position so much that I have changed my position in other cars to replicate the position. The trunk is only 3 cubic feet less than the A8, this means it is huge (about 16 cubic ft).","Bang & Olufsen sound, handling, trunk size, driving position, engine, voice commands, MMI/navigator, exterior styling. There is an interface for an iPod. In dash 6-disc CD player. I like the redundant steering wheel controls. Bluetooth, voice command controls are appreciated."
10/31/2008,steve,"This is the most fun car I have ever owned. My last car was a BMW 335 and the power and acceleration of the A5 is just as good. I read some reviews saying this car lacked acceleration power, so I drove test drove both the manual and the automatic. The difference was night and day. For anyone who wants a serious sports car with amazing handling, I would recommend the manual version of the A5- -while the automatic is nice, the manual drives and feels much more like the S5, but about 10K less expensive. I was considering the BMW X6, but the A5 was more fun to drive with much better gas mileage. Seriously, forget the tiptronic--only about $1200 more for auto, but a downgrade in my opinion.",Manual transmission with sportline package. Awesome front and rear grille.
10/30/2008,Gulfstream,"Amazing value. I've owned a 911Cab, 535i, SL55AMG and CL500 in the past 5 years. Ridiculous yes but I like cars. None of these come close to my new loaded '09 A5 for the dollar. Yes, the SL55 had the power & torque but not the value or the back seat for kids. I also drove the S5 but glad I bought the A5 instead with drive select. Sometimes I want the 911 handling and other times the Lexus sofa. With DriveSelect, its your decsion and it all works! I predict MB, BMW and Lexus will lose market share to Audi over the next few years and rightfully so. ""Car of the Year"" ...if you can find one.","The B & O system is absolutely the best car audio I've ever heard. Radio, NAV, ipod & blue tooth integration are flawless! Arm rest slides fwd with adjustable height to match shifter elevation. Large boot. With 500 miles on car in last 2 weeks, I have no regrets."
10/30/2008,Adam,"This has been a hectic journey. Ten months, and three different A5 orders, I got my Audi. I originally opted for a Deep Sea Blue A5, but I settled for Brilliant Black. All I can say is wow. At just about every stop-light, I will get stares are looks from other drivers.When I go to a restaurant, valet will park me in the front. When I get into my car with the intelligent key, I am relaxed by the Bang & Olufson sound system. In terms of safety, I don't think you can get much better. Rear backup camera, tons of airbags, and sticky tires which prevent me from sliding. Overall, I do not regret going from a 2006 325xi to this car. I highly do not regret leaving the BMW Brand. I am happy I bought it.","Looks, cinnamon milano leather, plenty of standard features, an excellent navigation interface, a pretty good value, attractive standard rims, technology package (well worth the money), B & O sound system, quality inside and out, a good alternative to the far too common 3 series coupe"
9/24/2008,Hinks,"I had a 2008 A5 on order, but fortunately I delayed the order so I could get a 2009. Worth the wait. I traded a RS6 and am far happier. Don't feel like I gave up much performance (yes, I drove the S5 also) but the gained a 50% or better increase in mileage. Handling is the best of any Audi I've owned. Car is beautiful and I have gotten more compliments on the car than I had with the Porsche Carerra. The '09 has the Audi sensors on the side mirrors that show a warning light for traffic in your blind spot. There is on the fly control of steering, suspension, and shift characteristics from gentle to aggresive. iPod combined with B & O sound is fantastic with no distortion at full volume. ","The 2009 has voice activation and it is a joy to use. No problems with it understanding me from the git go. Can call up a radio station by name, including going from the traffic report on AM to the oldies in Sirius with a single request. Can call up nav, ask for it to find a gas station by voice. "
9/17/2008,ckeck,"This car is simply amazing all around. Comes with a nice price tag, but definitely worth every last penny. Exterior styling and especially interior fit/finish are top notch. The performance for V6 is quite good and the Quattro really makes you stick to the road. Its really nice not having to worry about the back- end getting away from you. I get so many looks in this car I'm afraid a few people haven't wrecked looking at it because they stare so long. Overall, I give this car a solid 10, it is everything I thought it would be and more!","S-Line wheels, drive select, manual trans"
9/7/2008,DSB A5,"I had test drives in the G37, TT and A5 and had to think long and hard on what was a very difficult choice. The A5 finally won me over with its fabulous lines matched perfectly to a class leading interior and Audi build quality. I'm giving up a 2003 BMW 330ci which I really love for this car. I came to the conclusion that there comes a time in life when it's not the fastest 0-60 time that matters. The A5 is responsive enough for me (although the D position is pretty woeful for spirited driving) in sport or manual shift mode. Driving home from the dealership (83 miles) with the A5 was a joy. Long distance cruising in this car is a pleasure. Sound insulation is excellent with 18"" wheels.",The Deep Sea Blue Pearl exterior and Cinnamon Brown Milano leather interior are a perfect combination. Push button start and convenience key are great. A practical boot that can accommodate real world luggage and carrying requirements. B & O sound system. 
8/26/2008,JT,"This is my first coupe and my first Audi. I picked up the car two weeks ago after waiting ten weeks from order to delivery. The car is absolutely beautiful inside and out, is fun to drive and very quite on the highway. Audi really got it right with this design.","Everything, especially the Bang & Olufsen sound system."
10/20/2009,coloradodriver,"I purchased an 09 Premium Plus and found the seats to be super uncomfortable. So uncomfortable, in fact, that I ended up trading it in with only 4,000 miles on it for another '09 A4, but this one had the sport seats (M3-style retractable thigh support bolsters)and better shoulder support plus paddle shifters. Night and day. While I could never get quite comfortable in my Premium Plus I was immediately very comfortable and have been for the past 16,000 miles in my Sport package model. The only issue is that from what I understand Audi has discontinued the ""Sport Package"" and now only offers the better seats in the S4. Something to consider- you will not like the stock seats if you are 5'10""+.","Sport seats on the sport model, paddle shifters, bluetooth."
10/20/2009,Adrian Pineda,"I've had this car for almost a month with 1300 miles on it. It is an awesome car with excellent driving dynamics. I can hardly believe it is a 4 cylinder, but I'm reminded of it when I idle the engine with the windows down. I returned a leased 2007 Lexus IS350 and at no point did I feel like I downgraded although this vehicle was $7000 less. The interior room is cavernous and the ergonomics are superb. Acceleration is amazing for any size engine not to mention for a 4 cyl. The Bluetooth integration is excellent as it reads your entire phonebook and makes accessible at your steering wheel controls. The front end with the LED Running lights makes this car spell luxury.","LED Running lights, Exterior/interior, Ipod & bluetooth integrations, AWD handling, MPG/performance ratio, turning ratio, overall dimensions (it is a massive, confident vehicle). QUIET ride at all speeds! My coworker bought one after he test drove mine."
9/25/2009,Bob,"I traded in my 2002 A4 3.0 Quattro on a lease on a 2009 A4 2.0 Quattro. This 2.0 has plenty of torque. Cannot tell the difference with the new V4 from my prior V6, except the gas mileage is better and it is a quieter engine. I ordered the Premium Plus package with the navigator. I love the voice activated bluetooth dialing, the voice activated navigation, etc., and the backup camera with guidance. Audi came up with a winner. I am getting over 33 miles per gallon on the highway and around 28 in the city/suburbs. I am very happy with the vehicle. I loved my 2002; but, this is a big improvement. Only thing I miss from the 2002 is the storage compartments under the front seats.","Bluetooth phone, navigator, and radio can be controlled by voice. Very smart looking dash and console. The extra room from the previous model makes a noticeable difference."
9/16/2009,pjl275,"We get many compliments on our S-Line Cab. Great looking S4 wheels. This is our first convertible and we love top down driving. The Cab is fun to drive but not BMW thrilling. Like the fact its an AWD car, for full year use. Fit and finish is excellent, interior is gorgeous. Gas mileage is terrible. Hope long term reliability is good. We leased, but buyout is very attractive. If it holds together, can envision a long term ownership.","Style, interior design and finish. Wheels look great. Love the way the car looks with the top and windows down."
9/9/2009,JK,"Fun to drive in country roads, especially with S mode. The exterior with daylight running light draws attentions and the interior design, especially with the red back lights, is just beautiful. The fuel economy is good with over 33 mpg highway and 27 mixed highway/city driving.","Quattro, exterior, interior, bluetooth phone interface, ipod music interface, daylight running light."
9/5/2009,ab,"Quite frankly, it's hard to be ambivalent about $40k purchase, but I have to be honest with myself, and 9 months after purchasing this car, I can't say it's changed our lives. It's solidly built, but there's a fair amount of road noise. For all the self- congratulation from Audi about the increase in size, it's really not all that roomy. I think my wife's old 2001 Jetta had more room in the back. The MMI might be good compared to options from other manufacturers, but it's hardly intuitive. In sum, it's a solid but not outstanding effort.","The handling: sometimes the size feels awkward, but no matter the situation, you're always in control. Thank you AWD. Also, it's nice that key comes apart so you can take just the metal part with you if you're going for a run or a swim."
9/2/2009,JK,"The performance is great with sports mode, but the suspension is a bit bumpy for my taste (I can feel every road bump), but I guess that's what you get for a more sports tuned suspension. Fuel economy is not bad for a 211hp AWD car; I'm getting about 30 mpg on the highway and average about 25 highway/city driving. It is definitely a fun to drive car with very tight turning circle. Interior and exterior design earn many praises from my friends. The problem is I'm getting the shimmy around 62 mph (hence points off in reliability) and the diagnosis from Audi Engineering is bad control arms. I'm keeping my fingers crossed that replacing control arms will cure the shimmies.","Stereo, Audi Music Interface (ipod interface), quattro, sports mode, bluetooth hands-free phone interface, interior material and exterior looks, day light running lights."
8/14/2009,ca,"I've had the Audi for 2,500km so far. It is amazing. Fuel efficiency is great for a car with this much power. The 2.0 is more powerful than the 3.2 for the first 100km (60mph). I have the navi and tech pkg. Everything is voice activated. Back up camera is very handy. Proximity sensor locks and engine start are very convenient. EPS is nicely engineered. Audi side assist is handy. Seats are very comfortable. Breaks are high performance. I tested the Lexus IS250 and the BMW 328xi also. I have heard ""Hey man nice car!"" from over 10 people in 3 weeks. So that covers the exterior design. Red Bull must be more popular in Germany than North America (one of the cup holders is small). ","Proximity sensor locks and engine start, Back up camera, navigation, voice activation features. AMI, you can hook up a 500gb hard drive through USB if you want... "
8/13/2009,stanhope,"Turbo 4 provides plenty acceleration with good gas mileage. Handling is unreal. Considered the BMW 328 and Cadillac CTS. Both were great but did not appear worth the extra cost (insurance, maintenance and purchase price). ","Handling, interior and overall dealer service."
8/11/2009,JJM,"Car is everything I expected. Fit & Finish is as good as it gets. So good in fact that the seams trunk to body are so tight you can't fit bike rack clips in between. Engine is smooth. Test drove the 2.0s not going to pay this much for a car that vibrates 3.2 is for me. Brakes are awesome. Keep your eye on the rear view in a panic stop. Tiptronic is fun. Quirks... The ipod interface is poor, I leave my keys in the car in the garage but not with this... the lights will not turn off, the homelink does not work until you turn the car on. Kinda dumb that you start the car before you open the garage door. ",Great stability & Ride
9/17/2008,Simon0809,"This by far has been the best experience in any of the cars I have driven. The car has a lot of speed for a 4 cyl and also it has a sport gear. The interior is really comfortable, and I so far have not had any blind spots! Could not ask for more in a car! ","Sunroof is neat, I love the headlights, and the heated seats will look forward to when winter comes around! The radio is also very impressive. "
9/15/2008,anchor5072,"Purchased two days ago and drove over the weekend. Car is beautiful inside and out. Handles like a dream. Very comfortable. Virtually all functions are automated. Using the MMI takes some work, but once you get the hang of the info entry process, it works for most of the different functions. Several reviews stated that someone shorter than 5'4"" might have some problems with the driver's seat position. My wife is 5'2"" and had no problem getting into a comfortable driving position. Back seat has enough room and the trunk is large for this class of car. I would recommend test driving the 2.0T, as is performs quite well. ",Front seat comfort. Acceleration with the 2.0T is good (for a normal driver anyway). Steering is sharp on hard corners. Lots of gadgets. LED lights are a new wrinkle. Sirus radio and IPOD interface add options for entertainment. Bang and Olfusen stereo systems is well done.
8/10/2009,Danny,"I've had the car about 7 months now and no major complaints, except for the wind (see below). The A4 drives well, though it's not quite as responsive as well as my 2006 BMW 5 series. Steering is tight, brakes are just a bit grabby, and power is strong. The AWD is the best, especially in heavy, slushy snow. The only complaint is that the wind buffets incessantly my face when the window is open. Poor wind engineering. And it's difficult to find a good open position of the sunroof so it doesn't make noise. Seems like it has to be readjusted for every speed level.","Love the look, styling and stunning daytime running lights. Very supportive seats on those long drives. Trunk holds lots of stuff."
8/6/2009,datunlu,"I had the 06 A4. The 09 model is much bigger, for a tall guy like me, a great improvement. The LED light and the media control really made my decision much easier (we were choosing among Audi, BMW, MB, and Volvo). Best value for its class. It has been a month since we got it, we liked everything.","LED light, Audi media interface, better arranged control buttons, and the spacious interior."
8/2/2009,JB,"Both front seats proved to be uncomfortable during long driving periods. The problem is that the seat's side support bolsters are so high and firm (firmer than all other luxury cars of the same class) that they provide undue pressure on the hip bones. The outside side supporting plastic exacerbates the situation by noT allowing any amount of downward give of the seat. Thus, when exiting the vehicle, the plastic support and firm bolster provides undue pressure on legs. ",Very responsive and typical teutonic design.
8/2/2009,mynewaudi,I've had my Audi A4 for one week now. Excellent well designed car. Sharp styling with excellent design/fit and finish on the interior. MMI is really slick. Performance on the 2.0T is excellent - strong pull due to high torque. No problems with the CVT thus far. Exhaust note gives a good growl when accelerating. Pricing right now has been really good too!,"Interior design, fit & finish and performance"
7/31/2009,Hans,"Just picked up an Aruba Blue,Premium Plus with Navi and wood trim. My wife has a 2009 Cab (older platform) for about a year now. I love driving it so much that I shopped the end of season sales for a sedan for me and found a great deal. I was driving an '04 Accord with 100k trouble-free miles and had no desire to give it up. The Audi's driving dynamics, power and smoothness of the engine are great (even vs. Cab) and gas mileage is quite good. It's also the perfect size I was looking for. The gray interior is beautiful. The MMI is awesome as is the bluetooth and stereo. Seats very comfortable as well. If reliability is on par with the Honda, this will be the best car I've ever owned.","Engine is awesome - much smoother than wife's 2009 Cab and 258 ft. lbs. of torque at only 1500 rpms! Ride is very communicative, comfortable, and quiet. MMI is very good, even though it is slightly more tedious than Honda's. Bluetooth works great with both of my phones. Interior is beautiful. "
7/20/2009,cyberalAL,"This car is simply stunning, especially from the outside, especially with the Prestige package I got. Handling is very balanced, ride is sporty yet comfortable for longer commutes. Quattro provides excellent grip and 2.0T is powerful yet fuel efficient (have gotten 35 mpg cruising). Plus, this car is as big as the Passat I traded in. Some downsides include having to get Prestige to get those stunning 18"" wheels and 4 cyl. a little course when revved hard. But overall, I loved my choice for my first luxury brand car.","MMI easy to use, Audi Music Interface, daytime LED eyeliner lights, exterior styling, Bang & Olufsen stereo, Bluetooth phone hookup."
7/15/2009,JWS,"This car was leased for my wife. I owned a TT with a manual transmission a few years ago and we were attracted to this car by the excellent lease terms, appearance and the previous experience with Audi. The A4 has been back to the dealer twice in 3 weeks. The first time was due to wind noise and a water leak in the space between the front and rear driver's window. That was fixed. The second trip was because the automatic transmission (CVT) feels like it shifts from 1st to overdrive within about 2 seconds, causing significant loss of power. This even happens in sport mode. In addition, there is some lurching and hesitation upon initial acceleration. The dealer says this is ""normal"".",Handling...The car feels like it is glued to the road. The steering feel is great and the suspension feels nice and tight. The Cabriolet with the S- Line package looks great. We get a lot of positive comments. Bluetooth works great. Interior fit and finish is excellent.
7/13/2009,lagirl2,"I've only owned my new car for about a month and a half, almost 2 months now. The day after I bought it, it had a check engine light on. 3 trips to the dealership in a month and a half later, I got the fuel pump replaced. I'm hoping this problem doesn't continue because I really do love the car. I feel I should relate my experience to others so they can be informed buyers, though. Aside from this inconvenience, I really do like my car. ","Navigation with backup camera is the BEST! It's saved me from dings and dents already. It forces me to pay closer attention when I back up. Also, I love the design of the multimedia interface and the quality of the leather seats, etc... It just seems more stylish than competitors'."
7/13/2009,kaltsc9867,Please Test Drive this car extensively. Dealer will NOT tell you that the car goes forward when you put car in reverse. They say this is normal for cvt transmission. This was not disclosed before purchase. I don't think they would ever sell any cars with cvt if this was disclosed. DO NOT BUY THIS CAR.,NONE
7/8/2009,jerry,"Owned a 2004 C230 and moved on to Audi A4 cvt FWD. Like the styling and seating comfort. Speedometer is a little ridiculous for US driving. When sunroof is open sound is deafening but main issue is the acceleration lag when in D. Lessens somewhat when put in S mode. I use regular gas, premium is recommended, will try that next.","seats, wood paneling"
7/3/2009,radman21,"This is my third A4 in four years, passing them on to the kids or trade in on lease. The 2009 Prestige is one sweet machine. Better performance than than older (2006 and 2007 A4) with more torque and horsepower with highway mileage 33 mpg level road at 65-75. Also looked at BMW with AWD but run flats and many thousands more $ just not worth the difference, (and I have had BMW 3 series in the past). Great cruiser at 90 mph and around town. It is bigger than older A4, as big as I can tolerate. $37900 with 0.9% and 1 k down a great deal, than 4200 off MSRP, I will buy it rather than lease.","overall styling mileage, media interface"
6/28/2009,Guy Coates,"This is a great looking car and fun drive but has one major flaw. If you attempt to accelerate fast from a dead stop by mashing the accelerator, the transmission hesitates for a full second before the turbo kicks in. This can be dangerous when attempting to make a left turn in front of approaching traffic. I was told by the dealer that this is a common complaint because of the tiptronic transmission and cannot be corrected. You simply cannot throttle the vehicle hard from a stop and there is no fix. They said that I would get used to it. Be sure to test drive the vehicle before purchasing. I only test drove mine for a few miles. ","Once the turbo kicks in, the car accelerates extremely fast and handles great on curves. I love the looks of the car and enjoy all the other features. The trunk is huge. The daytime running lights are unique. Gas mileage is great. "
6/25/2009,S-Line Pilot,"The commute has gotten a lot more pleasant since the A4 S-Line came in. The Audi is quiet, comfortable, and effortlessly easy to drive. The Alcantara seats are cooler than full leather in hot Louisiana summers. MMI is easy to use and useful after very short learning curve. The steering wheel scroll buttons make dialing phone numbers, radio surfing preset stations easy and safe. The daily commute is a 70/30 mix of highway (65-70 mph)and stop-n-go traffic and the Audi delivers an amazing avg 28-31 mpg with mindful throttle (depends on traffic, weather). Despite the 19"" wheels and summer perf. tires the ride is firm without being jarring (test before buying). Gorgeous and feature laden.","Bang and Olufson sound system, voice activated Bluetooth, keyless entry/start, flappy paddle shifters, Alcantara seats, quattro, interior and exterior styling, general material and build quality, automatic everything (or not), relative exclusivity"
6/11/2009,lucy,"I was a previous MINI Cooper S owner and was looking for something else that was fun to drive. I spend about 2 hours of my day commuting and the Audi A4 Quattro 2.0 with the Premium Plus package fits what I need. It has fun and comfort. I'm a big tech geek and the A4 meets my needs. My favorite feature has to be the MMI. I had this car for almost 3 months and it has been excellent ever since except for a few strange rattle noises coming from the doors. It's a big head turner... so be prepared. I have had people in the freeway cruise up to me on the next lane, just so they can turn their head to view the led lights. ","MMI with iPod, auto dim mirrors, lots of trunk space, and Quattro!"
6/10/2009,JDE,"09 A4 2.0T CVT Prem Plus Quartz Gray. Terrific styling with an equal balance of handling and performance to please the enthusiast. MPG, safety, features & opts are solid, only sedan w/ a D pillar. 2-Tone gray interior is best out of other sedans tested. Love the lane change tap w/ side mirror LED's. Multitronic CVT proves powerful, mechanical and engine notes (DFI techno) make me smile. All around a spirited and sporty car.","Front LED's, bluetooth, ipod, low & wide stance."
6/2/2009,eoc42,"I am 600 miles into an Audi A4 Quattro and it is the worst car I have ever owned. The driver seat is so uncomfortable I can only sit in the car for no more than 45 min. All the dealer suggested is to get a pad. The ride is awful - pebbles become large rocks, rough roads rattle your teeth. I am missing my old Ford 500 more every day. If you are considering this car be wary, take a long test drive.",
5/30/2009,Bomchickawaawaa,"My car choices when searching came down to the BMW 335 sedan, Lexus GS 350, and the Audi A4. I decided to purchase the A4 based on the features and price. The A4 has the quattro AWD, fold down rear seats, 14 speaker Bang and Olufsen system, bluetooth and navigation. I felt that the exterior styling and the better interior features of the A4 outweighed the engine performance of the 335i. The Lexus rear bumper styling just didn't grow on me. So far after driving the car for the first 1000 miles I am so happy about my decision. The A4 is fast off the line and pulling on the freeway in sports mode, the handling is great with the quattro, and it's very eye catching with the LED driving lights.","Bluetooth works great with integration with your contacts. Ipod Intergration very intuitive to use with MMI system. Engine pulls very nicely without sounding harsh, smooth power. Sports seats very comfortable and supportive, instrument panel, NAV, and quattro handling is perfect."
5/21/2009,Midwest,"This is my first entry level luxury sedan purchase. I'm very thorough in my research and compared BMW, Lexus and Audi. Performance, quality and style made Audi the best choice for me. ","Handling, smooth ride, looks, ami system with iPod integration, interior. "
5/19/2009,BabyA,"I test drove the BMW 328i wagon, Saab 9-3 Combi, Prius, Audi A3, Subaru Impreza, VW GTI, Volvo V50 and the Mazda 3. The A4 Avant had the luxury, speed, room, look, and quality of materials I was looking for. I took my first maiden road trip and could not be happier. No body aches, great gas mileage, great handling in rain and when the sun came out I opened up the panoramic sun roof.","Panoramic sun roof, fifth door, quattro all wheel drive, steering wheel controls, blue tooth, Sirius satellite and the comfortable leather seats."
5/19/2009,gottahavethebest,"I've driven everything in this segment from Lexus IS, MBenz, to BMW and this car is the best combination of Luxury, Performance, and comfort. I chose the Prem Plus Sport Pkg with 18s and 6spd Manual! Audi has completely raised the bar with this one. The sport pkg takes the handling threshold into triple digits with ease. Plus I've been getting 31.3 MPG cruising between 72- 80mph hwy which is unheard of. I had a 2007 Infiniti G35x and never got north of 19MPG. Just drive the A4 once and you'll understand completely.","Sport Suspension, Bluetooth, the Manual Transmission, Multifunction Steering Wheel and of course the sport seats."
